,School_Original,Nickname_Original,Conference_Original,ID,FullName,ShortName,Mascot,Location,Conference,PrestigeHistoric,PrestigeCurrent
250,Western Illinois University,Leathernecks,Ohio Valley,,,,,,,,
251,University of Arizona[l],Wildcats,Pac-12,,,,,,,,
252,Arizona State University[l],Sun Devils,Pac-12,,,,,,,,
253,"University of California, Berkeley (California, Cal)",Golden Bears,Pac-12[a],,,,,,,,
254,University of Colorado Boulder (Colorado)[l],Buffaloes,Pac-12,,,,,,,,
255,University of Oregon[m],Ducks,Pac-12,,,,,,,,
256,Oregon State University,Beavers,Pac-12[n],,,,,,,,
257,Stanford University,Cardinal,Pac-12[a],,,,,,,,
258,"University of California, Los Angeles (UCLA)[m]",Bruins,Pac-12,,,,,,,,
259,University of Southern California (USC)[m],Trojans,Pac-12,,,,,,,,
260,University of Utah[l],Utes,Pac-12,,,,,,,,
261,"University of Washington (UW, U-Dub)[m]",Huskies,Pac-12,,,,,,,,
262,Washington State University,Cougars,Pac-12[n],,,,,,,,
263,American University,Eagles,Patriot League,,,,,,,,
264,United States Military Academy (Army or Army West Point),Black Knights,Patriot League,,,,,,,,
265,Boston University,Terriers,Patriot League,,,,,,,,
266,Bucknell University,Bison,Patriot League,,,,,,,,
267,Colgate University,Raiders,Patriot League,,,,,,,,
268,College of the Holy Cross,Crusaders,Patriot League,,,,,,,,
269,Lafayette College,Leopards,Patriot League,,,,,,,,
270,Lehigh University,Mountain Hawks,Patriot League,,,,,,,,
271,Loyola University Maryland (Loyola Maryland),Greyhounds,Patriot League,,,,,,,,
272,United States Naval Academy (Navy),Midshipmen,Patriot League,,,,,,,,
273,University of Alabama,Crimson Tide,SEC,,,,,,,,
274,University of Arkansas,Razorbacks,SEC,,,,,,,,
275,Auburn University,Tigers,SEC,,,,,,,,
276,University of Florida,Gators,SEC,,,,,,,,
277,University of Georgia (UGA),Bulldogs,SEC,,,,,,,,
278,University of Kentucky (UK),Wildcats,SEC,,,,,,,,
279,Louisiana State University (LSU),Tigers,SEC,,,,,,,,
280,University of Mississippi (Ole Miss),Rebels,SEC,,,,,,,,
281,Mississippi State University,Bulldogs,SEC,,,,,,,,
282,University of Missouri (Mizzou),Tigers,SEC,,,,,,,,
283,University of South Carolina,Gamecocks,SEC,,,,,,,,
284,University of Tennessee,Volunteers,SEC,,,,,,,,
285,Texas A&M University,Aggies,SEC,,,,,,,,
286,Vanderbilt University (Vandy),Commodores,SEC,,,,,,,,
287,University of Tennessee at Chattanooga (Chattanooga),Mocs,Southern,,,,,,,,
288,The Citadel,Bulldogs,Southern,,,,,,,,
289,East Tennessee State University (ETSU),Buccaneers,Southern,,,,,,,,
290,Furman University,Paladins,Southern,,,,,,,,
291,Mercer University,Bears,Southern,,,,,,,,
292,Samford University,Bulldogs,Southern,,,,,,,,
293,University of North Carolina at Greensboro (UNCG or UNC Greensboro),Spartans,Southern,,,,,,,,
294,Virginia Military Institute (VMI),Keydets,Southern,,,,,,,,
295,Western Carolina University,Catamounts,Southern,,,,,,,,
296,Wofford College,Terriers,Southern,,,,,,,,
297,Houston Christian University (HCU),Huskies,Southland,,,,,,,,
298,University of the Incarnate Word (UIW),Cardinals,Southland,,,,,,,,
299,Lamar University,Cardinals,Southland,,,,,,,,
300,McNeese State University (McNeese),Cowboys,Southland,,,,,,,,
301,University of New Orleans,Privateers,Southland,,,,,,,,
302,Nicholls State University (Nicholls),Colonels,Southland,,,,,,,,
303,Northwestern State University,Demons,Southland,,,,,,,,
304,Southeastern Louisiana University,Lions,Southland,,,,,,,,
305,Texas A&M University-Corpus Christi,Islanders,Southland,,,,,,,,
306,Texas A&M University–Commerce[d],Lions,Southland,,,,,,,,
307,Alabama Agricultural and Mechanical University (Alabama A&M),Bulldogs,SWAC,,,,,,,,
308,Alabama State University,Hornets,SWAC,,,,,,,,
309,Alcorn State University,Braves,SWAC,,,,,,,,
310,"University of Arkansas at Pine Bluff (Arkansas–Pine Bluff, UAPB)",Golden Lions,SWAC,,,,,,,,
